100 3940
0 1 15
0 2 -4
0 4 12
0 5 2
0 7 13
0 8 12
0 9 1
0 10 25
0 11 6
0 12 2
0 14 7
0 16 -5
0 17 1
0 18 25
0 19 2
0 20 25
0 21 10
0 22 10
0 23 23
0 24 -2
0 25 -3
0 26 -10
0 27 3
0 29 -3
0 30 23
0 31 -5
0 33 24
0 34 -8
0 35 20
0 36 27
0 37 -8
0 38 -6
0 40 6
0 41 -8
0 43 1
0 45 -8
0 46 -9
0 47 8
0 49 13
0 50 -8
0 51 18
0 52 28
0 53 23
0 54 -9
0 56 13
0 57 -1
0 58 -9
0 59 -7
0 60 -8
0 61 1
0 62 29
0 63 9
0 65 27
0 67 -10
0 68 -5
0 69 -3
0 72 7
0 73 -10
0 74 22
0 77 10
0 78 3
0 79 1
0 80 12
0 81 5
0 82 22
0 83 -2
0 84 16
0 86 -1
0 87 27
0 88 -9
0 89 3
0 90 -6
0 91 8
0 92 23
0 94 22
0 95 -2
0 96 20
0 98 -8
0 99 -5
1 2 27
1 3 18
1 4 10
1 7 23
1 8 15
1 9 25
1 10 29
1 11 -10
1 12 -2
1 13 2
1 14 22
1 17 20
1 18 12
1 19 -1
1 20 -7
1 21 -10
1 22 -3
1 23 30
1 24 30
1 25 -7
1 26 6
1 27 21
1 29 -2
1 30 26
1 31 -2
1 32 16
1 33 30
1 34 6
1 36 -5
1 37 -4
1 39 18
1 40 -1
1 41 -6
1 42 17
1 43 29
1 44 10
1 45 -3
1 47 24
1 48 14
1 49 26
1 50 8
1 51 -7
1 52 -7
1 54 23
1 55 14
1 56 2
1 57 4
1 58 26
1 59 12
1 60 5
1 62 10
1 66 23
1 67 -3
1 70 1
1 71 21
1 72 17
1 73 18
1 74 18
1 76 -9
1 78 -9
1 79 -1
1 80 -6
1 81 13
1 82 9
1 83 21
1 84 9
1 85 7
1 87 -2
1 88 8
1 89 21
1 91 -3
1 92 25
1 93 5
1 94 -9
1 95 10
1 96 29
1 97 28
1 98 19
2 3 1
2 4 9
2 5 19
2 6 -5
2 7 22
2 9 15
2 10 1
2 11 18
2 12 28
2 14 27
2 15 19
2 16 1
2 17 1
2 18 16
2 19 29
2 21 21
2 22 10
2 23 7
2 24 4
2 25 5
2 26 5
2 27 16
2 28 15
2 29 -3
2 31 27
2 32 23
2 33 2
2 35 13
2 36 -2
2 38 12
2 39 16
2 40 10
2 41 27
2 42 1
2 43 11
2 46 -6
2 47 23
2 48 24
2 49 11
2 50 6
2 51 5
2 52 15
2 53 2
2 54 8
2 55 -9
2 56 -10
2 57 18
2 58 -5
2 59 22
2 61 6
2 62 8
2 64 25
2 65 15
2 66 10
2 67 27
2 68 27
2 70 28
2 73 25
2 74 1
2 76 21
2 77 26
2 78 -2
2 80 26
2 81 1
2 82 19
2 83 25
2 84 7
2 85 9
2 86 -8
2 87 17
2 92 20
2 93 4
2 95 11
2 96 18
2 97 1
2 98 12
2 99 9
3 4 27
3 6 19
3 7 6
3 8 5
3 9 16
3 10 18
3 11 12
3 13 -7
3 14 30
3 18 23
3 19 5
3 20 -1
3 21 23
3 22 7
3 23 22
3 24 8
3 25 5
3 26 18
3 27 30
3 28 9
3 29 28
3 30 16
3 31 7
3 32 4
3 33 1
3 34 28
3 35 -5
3 36 25
3 37 5
3 40 -2
3 42 19
3 43 28
3 45 29
3 46 7
3 47 29
3 48 -10
3 49 21
3 50 12
3 51 19
3 52 24
3 53 23
3 55 5
3 57 15
3 58 -2
3 59 -2
3 62 18
3 63 -6
3 64 -3
3 65 21
3 66 27
3 67 -8
3 68 21
3 69 9
3 70 3
3 71 18
3 72 27
3 73 30
3 75 -3
3 76 1
3 77 14
3 78 1
3 79 -1
3 80 -1
3 81 17
3 82 4
3 85 -7
3 86 5
3 87 5
3 89 8
3 90 4
3 91 17
3 92 24
3 93 20
3 94 30
3 96 -10
3 97 4
3 99 25
4 5 3
4 6 2
4 7 9
4 8 17
4 9 14
4 10 27
4 11 7
4 12 28
4 13 -1
4 14 30
4 15 15
4 16 27
4 17 22
4 18 1
4 19 -7
4 20 11
4 21 1
4 23 1
4 24 -10
4 26 12
4 28 30
4 29 17
4 30 1
4 32 25
4 33 -7
4 35 16
4 36 23
4 38 11
4 40 24
4 41 13
4 42 30
4 43 25
4 44 -6
4 45 -7
4 46 21
4 48 -4
4 49 2
4 50 11
4 51 -7
4 52 22
4 53 -2
4 54 -5
4 56 12
4 57 28
4 58 17
4 59 4
4 61 16
4 62 16
4 63 3
4 64 4
4 65 14
4 67 22
4 68 28
4 69 -5
4 71 -3
4 73 -8
4 74 12
4 75 11
4 78 22
4 79 -10
4 80 28
4 82 17
4 83 -10
4 84 22
4 85 17
4 86 1
4 87 14
4 89 -9
4 90 -4
4 91 -1
4 92 28
4 93 -3
4 95 1
4 97 28
4 98 28
4 99 11
5 6 14
5 7 6
5 8 8
5 9 5
5 10 6
5 11 -5
5 12 -6
5 13 12
5 14 6
5 15 3
5 16 30
5 18 14
5 19 4
5 20 -2
5 21 16
5 22 -1
5 23 4
5 25 16
5 26 30
5 27 -6
5 28 21
5 29 26
5 30 -7
5 31 23
5 32 22
5 33 14
5 38 23
5 39 26
5 42 -3
5 43 6
5 44 20
5 45 15
5 47 17
5 48 18
5 49 -8
5 50 2
5 52 4
5 53 4
5 56 13
5 57 11
5 59 19
5 60 29
5 61 -4
5 62 22
5 63 -1
5 64 8
5 66 26
5 67 29
5 68 6
5 69 9
5 70 -5
5 71 -1
5 73 16
5 74 8
5 75 23
5 76 -10
5 77 -10
5 78 30
5 79 24
5 80 27
5 81 20
5 82 21
5 83 15
5 84 -8
5 85 5
5 86 28
5 87 -1
5 88 19
5 89 6
5 90 -6
5 91 29
5 93 18
5 97 -10
5 98 30
5 99 -6
6 7 9
6 8 26
6 9 18
6 10 -6
6 11 6
6 13 26
6 14 16
6 15 28
6 17 25
6 18 5
6 19 8
6 20 -10
6 23 -5
6 24 27
6 25 11
6 26 27
6 27 20
6 28 -9
6 29 -6
6 30 19
6 31 19
6 33 4
6 34 22
6 35 14
6 36 26
6 37 24
6 39 -9
6 40 19
6 41 -1
6 43 -8
6 44 15
6 45 -6
6 46 -4
6 47 13
6 48 -7
6 49 22
6 51 19
6 52 1
6 54 -5
6 55 -7
6 56 13
6 57 26
6 60 11
6 61 2
6 63 24
6 64 -5
6 66 -3
6 67 7
6 69 22
6 70 -6
6 73 20
6 74 -3
6 75 -1
6 76 16
6 77 2
6 78 28
6 79 26
6 80 20
6 81 10
6 82 5
6 83 12
6 84 24
6 85 17
6 86 -7
6 87 8
6 88 -6
6 89 -10
6 91 -2
6 92 21
6 93 27
6 94 2
6 96 29
6 97 12
6 98 20
7 8 28
7 9 13
7 10 -6
7 11 -1
7 12 18
7 13 16
7 15 -6
7 16 -4
7 17 -9
7 18 3
7 20 26
7 21 26
7 22 -1
7 24 -1
7 25 18
7 26 -1
7 27 30
7 28 -6
7 29 29
7 30 11
7 31 -4
7 32 10
7 33 3
7 34 26
7 35 -3
7 37 30
7 38 11
7 39 23
7 40 -1
7 41 6
7 43 3
7 44 12
7 45 -6
7 47 7
7 48 -5
