100 2500
0 1 -10
0 3 -8
0 4 -3
0 5 8
0 6 9
0 7 -6
0 11 -1
0 12 9
0 15 -1
0 16 -9
0 17 -3
0 20 -10
0 22 -2
0 23 -10
0 24 7
0 26 2
0 27 6
0 28 3
0 31 1
0 32 -2
0 35 5
0 36 8
0 38 2
0 39 -7
0 40 3
0 47 -6
0 48 -3
0 49 8
0 50 -5
0 52 -3
0 53 -10
0 59 -6
0 64 1
0 71 2
0 73 -1
0 76 -7
0 77 -10
0 79 2
0 80 1
0 83 8
0 84 8
0 86 2
0 87 -2
0 90 -3
0 91 1
0 92 1
0 93 3
0 95 7
0 96 -7
0 98 3
1 2 1
1 6 1
1 7 -1
1 8 4
1 9 1
1 10 -5
1 12 -6
1 13 4
1 16 -8
1 17 -3
1 18 1
1 22 3
1 23 5
1 24 -9
1 28 10
1 29 8
1 30 -3
1 32 4
1 39 5
1 40 8
1 41 2
1 43 10
1 45 6
1 46 9
1 47 1
1 49 -8
1 53 -8
1 59 -3
1 60 -3
1 62 -1
1 66 -6
1 67 3
1 68 2
1 74 1
1 76 -9
1 77 -4
1 78 -9
1 80 -10
1 81 3
1 82 -4
1 83 -10
1 85 7
1 86 1
1 89 -5
1 91 -4
1 92 6
1 94 -10
1 96 -2
1 98 -7
2 3 1
2 6 -6
2 7 1
2 8 -7
2 9 7
2 10 -3
2 11 1
2 13 -10
2 14 -2
2 15 -5
2 16 -6
2 20 -3
2 22 -6
2 24 -6
2 27 -9
2 28 4
2 29 -5
2 32 7
2 34 1
2 35 -1
2 36 -2
2 41 1
2 43 1
2 44 6
2 48 -9
2 51 4
2 57 -2
2 60 -8
2 62 -8
2 63 5
2 64 4
2 66 -6
2 69 1
2 75 -4
2 76 5
2 78 -10
2 79 7
2 80 -6
2 84 -9
2 85 1
2 86 1
2 87 -10
2 88 -2
2 89 7
2 91 8
2 92 -5
2 94 1
2 96 -7
2 99 7
3 4 -10
3 5 -1
3 6 -1
3 7 -8
3 8 -4
3 10 -1
3 11 9
3 14 -8
3 17 4
3 21 -8
3 23 -1
3 24 -1
3 28 9
3 29 5
3 30 9
3 31 9
3 32 9
3 33 -5
3 35 5
3 36 9
3 37 -10
3 40 5
3 41 -7
3 42 -3
3 45 4
3 47 -10
3 49 7
3 50 5
3 53 -6
3 56 -4
3 59 1
3 60 1
3 63 -7
3 65 1
3 66 -2
3 67 9
3 68 -6
3 71 5
3 72 -2
3 79 10
3 81 9
3 83 10
3 84 1
3 85 5
3 86 6
3 87 7
3 91 9
3 95 1
4 5 -6
4 7 -4
4 8 -1
4 10 4
4 11 -3
4 13 10
4 14 2
4 16 -8
4 18 5
4 20 -1
4 22 10
4 23 -2
4 27 9
4 28 9
4 29 -7
4 31 7
4 32 6
4 33 -2
4 35 -8
4 36 -8
4 37 -8
4 38 8
4 40 5
4 42 6
4 43 6
4 45 -6
4 53 1
4 54 2
4 56 -5
4 57 4
4 60 -4
4 62 3
4 65 9
4 66 -3
4 67 7
4 72 -4
4 74 1
4 75 2
4 76 5
4 77 3
4 79 -9
4 85 -3
4 89 5
4 91 -10
4 93 1
4 94 -9
4 95 -6
4 96 7
5 6 1
5 7 10
5 8 -2
5 9 -3
5 10 4
5 11 5
5 14 -6
5 15 -10
5 17 4
5 21 3
5 23 7
5 25 -5
5 27 1
5 28 9
5 31 1
5 36 6
5 45 2
5 48 -5
5 52 8
5 53 7
5 54 2
5 56 -6
5 57 -5
5 59 10
5 60 6
5 61 -10
5 62 -1
5 64 -6
5 65 2
5 66 4
5 73 -7
5 76 5
5 80 -1
5 81 7
5 82 -2
5 83 -3
5 84 -10
5 85 -4
5 87 7
5 88 -3
5 89 2
5 90 7
5 92 -4
5 95 -2
5 96 -9
5 98 4
5 99 -7
6 7 1
6 8 -10
6 9 -3
6 12 6
6 13 1
6 14 6
6 19 8
6 21 2
6 22 9
6 23 -2
6 24 -10
6 26 -10
6 28 1
6 29 8
6 32 -4
6 34 8
6 36 2
6 37 1
6 41 10
6 44 -10
6 45 -3
6 48 -6
6 49 -8
6 50 -7
6 53 -10
6 55 9
6 56 1
6 57 -5
6 58 8
6 60 3
6 63 5
6 67 1
6 70 -6
6 71 2
6 73 -9
6 74 -7
6 76 6
6 77 7
6 81 3
6 83 5
6 84 -6
6 87 -3
6 93 3
6 94 6
6 97 -5
6 98 -1
6 99 5
7 8 -7
7 9 -4
7 10 3
7 11 8
7 12 2
7 13 1
7 14 -2
7 15 -6
7 20 2
7 21 -1
7 22 9
7 23 9
7 24 5
7 30 -10
7 32 7
7 34 5
7 39 -10
7 40 -3
7 41 -3
7 42 -8
7 43 7
7 46 -10
7 49 7
7 51 -7
7 52 10
7 54 -8
7 55 9
7 59 3
7 60 -6
7 61 -10
7 62 -7
7 63 2
7 64 3
7 73 6
7 74 10
7 75 1
7 77 -5
7 78 -9
7 83 -2
7 84 -9
7 87 -7
7 89 3
7 91 -8
7 92 1
7 95 -4
7 96 1
8 9 -10
8 10 -5
8 11 -10
8 13 -1
8 17 10
8 18 2
8 19 -3
8 21 2
8 24 -10
8 25 4
8 29 8
8 30 6
8 35 -5
8 39 8
8 42 -10
8 43 2
8 47 -9
8 48 -4
8 49 8
8 50 9
8 51 1
8 52 -8
8 53 -3
8 54 1
8 56 -1
8 57 1
8 59 8
8 61 2
8 62 -7
8 66 1
8 69 -8
8 70 6
8 76 10
8 78 5
8 79 -10
8 81 -10
8 83 1
8 85 -1
8 86 -7
8 89 -3
8 90 -10
8 91 -8
8 93 -2
8 94 -4
8 95 -10
8 99 1
9 10 1
9 11 -7
9 15 1
9 16 -8
9 23 10
9 24 -10
9 25 1
9 27 3
9 28 7
9 30 -2
9 32 4
9 33 -3
9 35 3
9 36 -8
9 37 -7
9 39 3
9 40 -6
9 42 -9
9 44 -10
9 45 -10
9 48 4
9 49 4
9 50 -8
9 52 2
9 54 -5
9 55 1
9 57 10
9 58 -2
9 61 8
9 64 -9
9 65 -3
9 68 5
9 69 5
9 72 -10
9 74 10
9 75 -3
9 77 -8
9 78 3
9 83 -5
9 86 1
9 87 -1
9 89 -1
9 91 -9
9 93 10
9 97 6
10 11 3
10 12 -4
10 13 7
10 14 10
10 17 -5
10 19 -7
10 20 -1
10 25 -3
10 27 -4
10 29 1
10 30 -2
10 32 1
10 35 8
10 36 -8
10 37 -2
10 38 4
10 39 6
10 40 -7
10 45 -8
10 46 -6
10 47 -2
10 48 3
10 49 -1
10 50 -2
10 53 -4
10 55 9
10 56 8
10 63 10
10 64 -10
10 65 -4
10 67 -4
10 68 10
10 69 10
10 71 -4
10 76 -4
10 80 8
10 82 8
10 85 7
10 87 7
10 88 -1
10 90 6
10 92 -1
10 95 -7
10 96 8
10 99 -1
11 12 -6
11 13 -5
11 14 4
11 19 9
11 21 -2
11 22 -10
11 25 -4
11 26 6
11 28 10
11 32 -4
11 34 -9
11 36 10
11 39 3
11 40 8
11 41 -4
11 42 -10
11 44 -7
11 46 8
11 47 -6
11 48 -4
11 49 -1
11 53 -10
11 54 8
11 57 -2
11 59 -8
11 63 8
11 64 1
11 65 5
11 66 8
11 67 5
11 68 -7
11 70 7
11 74 2
11 75 -3
11 76 -4
11 78 1
11 85 2
11 88 -8
11 90 7
11 92 5
11 94 3
11 95 -4
11 96 -10
11 98 2
12 13 3
12 14 -10
12 15 6
12 16 -6
12 20 6
12 21 -10
12 22 -7
12 30 -8
12 32 8
12 33 -2
12 34 4
12 35 -3
12 39 2
12 40 -5
12 41 -3
12 46 -5
12 48 -2
12 50 3
12 52 -2
12 53 -10
12 55 4
12 56 -7
12 57 9
12 61 1
12 62 5
12 63 10
12 66 -2
12 67 -7
12 68 9
12 69 -8
12 70 -10
12 75 -4
12 76 -10
12 79 3
12 80 -4
12 83 5
12 86 7
12 88 -10
12 89 7
12 92 3
12 93 6
12 96 10
12 98 10
12 99 -5
13 14 7
13 15 7
13 21 10
13 24 -8
13 25 1
13 28 10
13 29 -3
13 32 -8
13 33 2
13 35 -2
13 37 5
13 38 -8
13 39 1
13 40 -3
13 41 -2
13 45 2
13 46 10
13 47 3
13 48 8
13 49 4
13 50 -1
13 52 -4
13 53 10
13 54 -10
13 55 -5
13 59 -9
13 61 4
13 65 -4
13 71 -5
13 74 8
13 75 -9
13 78 -5
13 81 -10
13 85 -4
13 86 -4
13 87 -9
13 88 7
13 89 -8
13 90 -3
13 93 3
13 95 -8
13 98 10
13 99 -2
14 15 2
14 18 -6
14 22 -4
14 23 -2
14 24 1
14 25 6
14 26 8
14 28 9
14 29 -6
14 30 -2
14 31 -10
14 32 -2
14 34 -9
14 35 1
14 37 -9
14 39 -6
14 42 10
14 45 2
14 46 -5
14 48 -1
14 49 -8
14 52 -6
14 53 -1
14 57 2
14 62 -6
14 63 5
14 65 10
14 67 -2
14 68 2
14 69 9
14 70 -7
14 71 10
14 76 1
14 77 -10
14 78 9
14 83 10
14 89 1
14 90 -7
14 93 -3
14 95 -9
14 96 -9
14 97 1
14 99 7
15 16 -10
15 19 -9
15 23 4
15 24 9
15 27 -7
15 29 8
15 30 -8
15 33 2
15 34 7
15 36 -3
15 37 -10
15 38 -2
15 41 5
15 43 -6
15 45 -8
15 46 7
15 47 -5
15 49 -3
15 50 -4
15 51 7
15 53 -4
15 55 6
15 62 -2
15 64 1
15 67 -6
15 70 2
15 71 -5
15 72 4
15 73 -2
15 74 -3
15 75 -7
15 79 -1
15 81 9
15 82 -6
15 84 -7
15 85 6
15 89 10
15 91 -4
15 94 10
15 95 4
15 96 9
15 97 10
16 17 8
16 20 1
16 21 2
16 22 3
16 27 6
16 28 -7
16 30 10
16 32 -10
16 33 -5
16 34 3
16 35 -7
16 40 1
16 41 -7
16 46 -2
16 49 -2
16 52 -2
16 53 -2
16 54 2
16 56 -2
16 57 9
16 61 7
16 62 -2
16 63 -2
16 64 -4
16 65 -10
16 66 6
16 68 10
16 71 -10
16 76 -8
16 77 8
16 78 2
16 80 -9
16 81 -6
16 82 3
16 85 9
16 87 -3
16 88 1
16 91 6
16 94 10
16 96 5
16 98 -8
16 99 7
17 18 -2
17 19 -7
17 21 1
17 26 -8
17 28 8
17 29 7
17 30 -8
17 31 -3
17 32 -5
17 33 1
17 34 -6
17 35 9
17 37 -1
17 38 8
17 40 -4
17 41 -1
17 43 2
17 47 3
17 48 -10
17 51 -5
17 56 9
17 57 -6
17 58 -4
17 59 -1
17 62 2
17 65 -7
17 67 -6
17 69 -6
17 74 8
17 80 -9
17 82 1
17 84 -5
17 85 8
17 86 -9
17 87 9
17 90 5
17 94 -1
17 95 -10
17 96 -9
17 97 4
17 99 7
18 19 -9
18 24 9
18 26 -6
18 32 -4
18 34 -2
18 36 9
18 37 -8
18 38 -3
18 39 -7
18 40 -8
18 43 -10
18 44 -1
18 46 -2
18 48 -9
18 50 1
18 51 10
18 53 8
18 58 10
18 61 8
18 62 -2
18 65 5
18 66 -2
18 67 3
18 69 -10
18 71 1
18 72 1
18 73 6
18 74 5
18 76 7
18 78 -9
18 81 9
18 87 1
18 88 10
18 89 -8
18 90 7
18 91 8
18 92 1
18 94 -7
18 96 -1
18 98 9
18 99 8
19 20 8
19 23 5
19 26 1
19 27 -10
19 29 -3
19 30 6
19 31 4
19 33 -6
19 37 -5
19 38 5
19 39 6
19 40 4
19 44 6
19 46 -3
19 47 -6
19 48 3
19 49 7
19 50 -6
19 51 -3
19 55 9
19 56 5
19 58 2
19 59 -9
19 60 1
19 62 -6
19 64 -2
19 65 -1
19 70 1
19 71 5
19 76 -1
19 82 1
19 83 8
19 84 1
19 87 -8
19 89 -6
19 91 3
19 92 4
19 93 -8
19 94 4
19 95 -7
20 21 5
20 26 8
20 28 10
20 30 -4
20 33 -6
20 36 -6
20 37 9
20 39 10
20 41 -9
20 42 -8
20 46 -4
20 47 -6
20 49 8
20 51 1
20 52 1
20 53 4
20 55 -7
20 59 -5
20 60 -8
20 63 -2
20 64 3
20 65 7
20 66 -2
20 68 3
20 70 1
20 71 1
20 73 7
20 76 -1
20 78 5
20 79 -4
20 80 2
20 87 10
20 88 -8
20 89 -2
20 90 -5
20 92 -9
20 93 5
20 94 9
20 95 -4
20 96 -2
21 22 4
21 24 5
21 25 10
21 26 5
21 29 1
21 30 -3
21 32 4
21 33 -10
21 35 2
21 36 1
21 38 -7
21 40 -9
21 44 -10
21 47 -2
21 48 3
21 52 8
21 54 9
21 55 5
21 60 4
21 62 4
21 64 10
21 67 -1
21 70 -3
21 72 7
21 75 -10
21 76 -1
21 78 -5
21 79 4
21 80 2
21 81 7
21 83 -4
21 84 -3
21 88 7
21 89 6
21 90 1
21 91 7
21 95 -8
21 98 10
21 99 -5
22 23 2
22 27 7
22 28 -2
22 30 6
22 31 -9
22 32 3
22 33 7
22 35 3
22 39 9
22 41 -4
22 43 1
22 45 1
22 47 -7
22 48 6
22 49 -7
22 50 -10
22 52 -4
22 55 -1
22 56 -7
22 57 4
22 59 -6
22 60 -9
22 62 6
22 63 8
22 64 8
22 65 -9
22 67 -2
22 68 7
22 69 -9
22 72 8
22 75 2
22 78 4
22 80 1
22 81 5
22 83 9
22 84 -2
22 93 -7
22 95 -10
22 99 -10
23 24 -3
23 25 -2
23 26 1
23 28 2
23 29 -8
23 32 -1
23 34 9
23 36 6
23 42 10
23 46 4
23 48 -3
23 50 -1
23 54 4
23 55 -1
23 58 5
23 59 -2
23 60 3
23 61 10
23 62 -6
23 67 1
23 68 -8
23 71 1
23 72 -6
23 73 2
23 75 2
23 76 -4
23 77 9
23 81 -6
23 82 -1
23 83 -5
23 84 -1
23 85 -3
23 86 2
23 88 2
23 91 -10
23 95 5
23 96 -3
23 97 -6
24 25 7
24 26 7
24 27 -7
24 30 6
24 31 9
24 32 -4
24 33 6
24 34 7
24 37 3
24 38 6
24 39 3
24 40 -6
24 42 1
24 44 -1
24 45 -6
24 52 -8
24 53 8
24 54 8
24 59 -2
24 61 -10
24 63 -1
24 64 -6
24 65 -10
24 69 4
24 73 -3
24 76 -7
24 80 -4
24 81 3
24 82 10
24 86 6
24 87 -8
24 88 -5
24 89 7
24 90 -10
24 91 -10
24 95 -8
24 97 -2
24 98 -1
25 26 8
25 29 -4
25 32 10
25 33 -8
25 35 -9
25 36 -1
25 37 9
25 39 4
25 40 -7
25 42 -8
25 45 1
25 47 2
25 48 -9
25 49 8
25 50 -9
25 52 8
25 55 -5
25 57 -8
25 58 9
25 63 4
25 64 -8
25 66 1
25 67 -4
25 68 -8
25 70 -7
25 72 9
25 74 6
25 75 9
25 77 4
25 79 -9
25 82 4
25 83 -9
25 84 6
25 85 -2
25 86 -3
25 87 5
25 95 6
26 27 8
26 28 7
26 30 -9
26 31 -5
26 34 -6
26 35 5
26 36 -5
26 39 4
26 44 1
26 45 2
26 46 -6
26 47 -3
26 50 -2
26 51 -1
26 52 7
26 53 1
26 55 -3
26 60 6
26 62 4
26 64 7
26 69 1
26 70 8
26 71 -10
26 73 4
26 74 -8
26 80 8
26 82 1
26 85 -4
26 86 3
26 88 1
26 91 -2
26 93 2
26 94 3
26 95 -8
26 96 -3
26 98 1
26 99 -9
27 28 -1
27 31 -1
27 32 -2
27 34 -8
27 35 -5
27 36 8
27 37 -6
27 39 -2
27 42 4
27 44 2
27 45 1
27 46 -5
27 47 -7
27 48 -4
27 50 -7
27 52 3
27 54 1
27 56 -3
27 57 1
27 58 1
27 60 1
27 62 2
27 64 2
27 70 -1
27 71 2
27 74 -2
27 76 3
27 81 1
27 82 -8
27 88 -2
27 89 -6
27 90 9
27 93 9
27 94 5
27 95 3
27 97 -3
28 29 10
28 30 -4
